563,383
551,381
539,380
529,379
518,378
505,377
496,376
459,375
447,375
434,376
422,375
412,376
398,375
388,375
378,374
367,373
357,374
343,374
328,374
290,374
280,375
269,375
258,376
246,376
236,377
222,379
224,371
234,369
245,368
257,367
268,365
279,365
291,364
329,365
339,366
351,366
361,365
372,364
381,366
390,366
399,365
409,365
417,365
428,366
438,367
446,366
454,367
495,366
505,366
517,367
527,367
537,369
549,370
559,372
558,362
547,361
535,358
525,357
515,356
504,355
491,354
454,356
442,356
431,355
419,355
406,353
395,354
384,355
371,353
357,353
345,353
332,353
225,362
235,358
244,358
252,356
262,356
272,355
280,355
290,355
283,344
292,344
330,343
339,342
347,343
354,342
364,342
374,344
385,344
396,343
405,344
416,344
425,344
435,345
443,345
454,345
487,344
498,344
332,333
342,333
351,333
359,333
369,333
381,334
396,334
408,334
421,334
434,334
447,335
